country,year,co2_per_capita_tco2e_excl_lulucf,co2_total_mtco2e_excl_lulucf,energy_use_kg_oe_per_capita,gdp_current_usd,population_total,renewable_electricity_pct,renewable_energy_consumption_pct,urban_pop_pct,missing_indicator_count
LAO,1997,0.0998056875266765,0.5142,296.828433223862,1747011857.33107,5152011.0,99.6551724137931,84.6,19.12,0
LAO,1998,0.105044218414234,0.5513,296.828433223862,1280177838.71905,5248266.0,99.6551724137931,86.6,20.039,0
LAO,1999,0.100116387406793,0.5347,296.828433223862,1454430642.44959,5340784.0,99.6551724137931,86.6,20.991,0
LAO,2000,0.172061042728584,0.9345,296.828433223862,1731198022.46763,5431212.0,99.6551724137931,81.5,21.977,0
LAO,2001,0.186381120141295,1.0291,305.203788340763,1768619058.34647,5521482.0,99.6551724137931,81.1,22.993,0
LAO,2002,0.20574279762084,1.1544,308.964836465676,1758176653.07746,5610889.0,96.5371809100999,80.2,24.044,0
LAO,2003,0.210602243440398,1.2,314.0195746722,2023324407.28414,5697945.0,96.66298338277224,78.7,25.126,0
LAO,2004,0.217585848686857,1.258,319.062906873054,2366398119.86321,5781626.0,96.78878585544456,74.0,26.242,0
LAO,2005,0.221926040668041,1.3026,324.856817488689,2735558734.7379,5869523.0,96.91458832811689,73.9,27.186,0
LAO,2006,0.28652401395224,1.7086,349.385020841441,3455030060.9785,5963200.0,97.04039080078923,69.8,27.748,0
LAO,2007,0.298205023714399,1.806,377.457251010717,4223152739.04052,6056236.0,97.16619327346154,70.7,28.316,0
LAO,2008,0.343065642386553,2.1095,406.727596705488,5446433157.40114,6148969.0,97.29199574613388,69.3,28.893,0
LAO,2009,0.423077773444872,2.6407,420.269670847966,5836137329.63305,6241642.0,97.41779821880621,66.4,29.475,0
LAO,2010,0.467525939369713,2.9614,425.369477265063,7131771014.70456,6334194.0,97.54360069147855,64.8,30.064,0
LAO,2011,0.486447711772495,3.1262,424.226591651912,8750104617.17303,6426590.0,97.66940316415086,63.6,30.66,0
